"date","raw_year","raw_month","m_year","day_of_year","day_of_month","day_of_season","season"
"1900-01-01",1900,1,1900,1,1,32,"DJF"
"1900-01-02",1900,1,1900,2,2,33,"DJF"
"1900-01-03",1900,1,1900,3,3,34,"DJF"
"1900-01-04",1900,1,1900,4,4,35,"DJF"
"1900-01-05",1900,1,1900,5,5,36,"DJF"
"1900-01-06",1900,1,1900,6,6,37,"DJF"
"1900-01-07",1900,1,1900,7,7,38,"DJF"
"1900-01-08",1900,1,1900,8,8,39,"DJF"
"1900-01-09",1900,1,1900,9,9,40,"DJF"
"1900-01-10",1900,1,1900,10,10,41,"DJF"
"1900-01-11",1900,1,1900,11,11,42,"DJF"
"1900-01-12",1900,1,1900,12,12,43,"DJF"
"1900-01-13",1900,1,1900,13,13,44,"DJF"
"1900-01-14",1900,1,1900,14,14,45,"DJF"
"1900-01-15",1900,1,1900,15,15,46,"DJF"
"1900-01-16",1900,1,1900,16,16,47,"DJF"
"1900-01-17",1900,1,1900,17,17,48,"DJF"
"1900-01-18",1900,1,1900,18,18,49,"DJF"
"1900-01-19",1900,1,1900,19,19,50,"DJF"
"1900-01-20",1900,1,1900,20,20,51,"DJF"
"1900-01-21",1900,1,1900,21,21,52,"DJF"
"1900-01-22",1900,1,1900,22,22,53,"DJF"
"1900-01-23",1900,1,1900,23,23,54,"DJF"
"1900-01-24",1900,1,1900,24,24,55,"DJF"
"1900-01-25",1900,1,1900,25,25,56,"DJF"
"1900-01-26",1900,1,1900,26,26,57,"DJF"
"1900-01-27",1900,1,1900,27,27,58,"DJF"
"1900-01-28",1900,1,1900,28,28,59,"DJF"
"1900-01-29",1900,1,1900,29,29,60,"DJF"
"1900-01-30",1900,1,1900,30,30,61,"DJF"
"1900-01-31",1900,1,1900,31,31,62,"DJF"
"1900-02-01",1900,2,1900,32,1,63,"DJF"
"1900-02-02",1900,2,1900,33,2,64,"DJF"
"1900-02-03",1900,2,1900,34,3,65,"DJF"
"1900-02-04",1900,2,1900,35,4,66,"DJF"
"1900-02-05",1900,2,1900,36,5,67,"DJF"
"1900-02-06",1900,2,1900,37,6,68,"DJF"
"1900-02-07",1900,2,1900,38,7,69,"DJF"
"1900-02-08",1900,2,1900,39,8,70,"DJF"
"1900-02-09",1900,2,1900,40,9,71,"DJF"
"1900-02-10",1900,2,1900,41,10,72,"DJF"
"1900-02-11",1900,2,1900,42,11,73,"DJF"
"1900-02-12",1900,2,1900,43,12,74,"DJF"
"1900-02-13",1900,2,1900,44,13,75,"DJF"
"1900-02-14",1900,2,1900,45,14,76,"DJF"
"1900-02-15",1900,2,1900,46,15,77,"DJF"
"1900-02-16",1900,2,1900,47,16,78,"DJF"
"1900-02-17",1900,2,1900,48,17,79,"DJF"
"1900-02-18",1900,2,1900,49,18,80,"DJF"
"1900-02-19",1900,2,1900,50,19,81,"DJF"
"1900-02-20",1900,2,1900,51,20,82,"DJF"
"1900-02-21",1900,2,1900,52,21,83,"DJF"
"1900-02-22",1900,2,1900,53,22,84,"DJF"
"1900-02-23",1900,2,1900,54,23,85,"DJF"
"1900-02-24",1900,2,1900,55,24,86,"DJF"
"1900-02-25",1900,2,1900,56,25,87,"DJF"
"1900-02-26",1900,2,1900,57,26,88,"DJF"
"1900-02-27",1900,2,1900,58,27,89,"DJF"
"1900-02-28",1900,2,1900,59,28,90,"DJF"
"1900-03-01",1900,3,1900,61,1,1,"MAM"
"1900-03-02",1900,3,1900,62,2,2,"MAM"
"1900-03-03",1900,3,1900,63,3,3,"MAM"
